,Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Annual_Rainfall
26,Rice,Clay,6.25,11.20836439740879,80.0,11.372246946157428,78.0,60.0,44.0,1220.9
27,Barley,Saline,8.0,16.724511675223642,80.0,13.711048218809385,65.0,55.0,45.0,769.6
28,Cotton,Loamy,6.5,21.15889188358055,78.84110811641945,6.034369148099684,77.0,66.0,60.0,1047.4
29,Sugarcane,Saline,8.0,22.02602652939094,77.97397347060905,14.17697726047571,84.5,66.0,54.0,1072.1
30,Tomato,Sandy,6.75,15.384474742922857,80.0,10.084298390044603,50.0,36.0,30.0,751.2
31,Potato,Saline,8.0,12.917718182243124,80.0,12.572509754764337,71.5,55.0,40.5,697.8
32,Wheat,Sandy,6.75,10.402878828830984,80.0,14.649803215052618,55.00000000000001,40.0,27.0,529.1
33,Corn,Clay,6.25,13.389692418971622,80.0,12.44055165210901,72.0,55.00000000000001,40.0,913.6
34,Rice,Clay,6.25,15.065169498832754,80.0,11.133308775919277,78.0,60.0,44.0,1394.9
35,Barley,Loamy,6.5,17.507981826730862,80.0,8.195808263284821,70.0,60.0,50.0,606.5
36,Cotton,Peaty,5.5,16.732241047484877,80.0,10.678864808496623,60.50000000000001,49.50000000000001,42.0,1025.7
37,Sugarcane,Loamy,6.5,17.834470353935437,80.0,9.506498697514289,91.0,72.0,60.0,1475.8
38,Tomato,Loamy,6.5,5.327149022494751,80.0,6.426089508392054,70.0,54.0,50.0,1090.0
39,Potato,Sandy,6.75,14.97571527674485,80.0,8.85003008120229,55.00000000000001,40.0,27.0,627.5
40,Wheat,Peaty,5.5,26.366725790087408,73.6332742099126,10.44092395137165,60.50000000000001,45.0,31.5,940.0
41,Corn,Saline,8.0,7.508521813140346,80.0,12.731536655484003,78.0,60.50000000000001,45.0,1191.4
42,Rice,Loamy,6.5,15.065009459389534,80.0,14.360602231471953,91.0,72.0,55.00000000000001,1338.2
43,Barley,Saline,8.0,28.600845832948096,71.3991541670519,9.985912015979322,65.0,55.0,45.0,448.8
44,Cotton,Saline,8.0,18.70170408973869,80.0,11.009196291358757,71.5,60.50000000000001,54.0,1011.8
45,Sugarcane,Peaty,5.5,10.766031409657977,80.0,5.455458325942406,71.5,54.0,42.0,1454.8
46,Tomato,Clay,6.25,19.28199397161736,80.0,12.13032772109186,60.0,45.0,40.0,804.7
47,Potato,Clay,6.25,18.175562754509897,80.0,6.759397389878544,66.0,50.0,36.0,645.4
48,Wheat,Sandy,6.75,17.093197345863008,80.0,7.81546225191,55.00000000000001,40.0,27.0,573.6
49,Corn,Clay,6.25,17.338585387490586,80.0,10.913347359612558,72.0,55.00000000000001,40.0,845.2
50,Rice,Saline,8.0,9.083671892727905,80.0,11.484986962575086,84.5,66.0,49.50000000000001,1467.0
51,Barley,Peaty,5.5,11.564124123337448,80.0,5.318328782688193,55.0,45.0,35.0,675.7
52,Cotton,Sandy,6.75,6.936420644051742,80.0,7.32063917911233,55.00000000000001,44.0,36.0,643.9
53,Sugarcane,Sandy,6.75,12.293572791800162,80.0,12.33046901327681,65.0,48.0,36.0,1157.7
54,Tomato,Saline,8.0,17.5934722885889,80.0,8.876435322728591,65.0,49.5,45.0,1089.6
55,Potato,Loamy,6.5,21.81717745475852,78.18282254524148,12.486297932814624,77.0,60.0,45.0,571.0
56,Wheat,Peaty,5.5,10.712255571694495,80.0,12.520016129867289,60.50000000000001,45.0,31.5,714.0
57,Corn,Sandy,6.75,11.612921661426215,80.0,8.997258726548896,60.0,44.0,30.0,694.9
58,Rice,Clay,6.25,13.40322461092611,80.0,9.386150483567237,78.0,60.0,44.0,1369.1
59,Barley,Saline,8.0,26.224033030052816,73.77596696994718,6.019504701592309,65.0,55.0,45.0,523.8
60,Cotton,Peaty,5.5,10.92364531739038,80.0,11.331458284438686,60.50000000000001,49.50000000000001,42.0,979.3
61,Sugarcane,Peaty,5.5,12.25373546317849,80.0,13.290388763324213,71.5,54.0,42.0,1134.3
62,Tomato,Clay,6.25,12.507966886467772,80.0,14.629202955577252,60.0,45.0,40.0,1084.4
63,Potato,Clay,6.25,15.009068055973382,80.0,12.267805845374957,66.0,50.0,36.0,525.9
64,Wheat,Loamy,6.5,18.039192701674025,80.0,13.097538378483645,77.0,60.0,45.0,622.0
65,Corn,Saline,8.0,16.021414710006646,80.0,12.060545538297912,78.0,60.50000000000001,45.0,741.9
66,Rice,Loamy,6.5,17.507133785130407,80.0,13.181915736464232,91.0,72.0,55.00000000000001,1482.1
67,Barley,Peaty,5.5,10.659578872977562,80.0,10.842975603205096,55.0,45.0,35.0,443.1
68,Cotton,Loamy,6.5,21.40960190157101,78.59039809842899,8.133288505281163,77.0,66.0,60.0,896.9
69,Sugarcane,Saline,8.0,17.647177558269014,80.0,9.448324786815938,84.5,66.0,54.0,1241.0
70,Tomato,Saline,8.0,12.470599733828529,80.0,7.513014967233783,65.0,49.5,45.0,646.2
71,Potato,Sandy,6.75,24.352119489077587,75.64788051092242,15.064051097106743,55.00000000000001,40.0,27.0,674.4
72,Wheat,Saline,8.0,18.82239117662856,80.0,6.6665085617677065,71.5,55.0,40.5,581.7
73,Corn,Sandy,6.75,18.952969947120728,80.0,9.022080577055531,60.0,44.0,30.0,970.4
74,Rice,Sandy,6.75,18.40976485647482,80.0,9.069199730219632,65.0,48.0,33.0,1201.4
75,Barley,Peaty,5.5,14.349284728161576,80.0,15.736952919519911,55.0,45.0,35.0,620.7
76,Cotton,Saline,8.0,16.346588271262693,80.0,11.872359451156466,71.5,60.50000000000001,54.0,914.6
77,Sugarcane,Saline,8.0,16.622591581872776,80.0,15.02587974900466,84.5,66.0,54.0,1274.3
78,Tomato,Sandy,6.75,17.480321166129375,80.0,8.70008977929232,50.0,36.0,30.0,805.5
79,Potato,Clay,6.25,7.091730371927273,80.0,10.23702704273217,66.0,50.0,36.0,544.4
80,Wheat,Saline,8.0,11.678862783477886,80.0,14.080334098744515,71.5,55.0,40.5,737.3
81,Corn,Clay,6.25,22.85016140271336,77.14983859728665,7.826998613958702,72.0,55.00000000000001,40.0,1108.8
82,Rice,Saline,8.0,14.90743432003805,80.0,9.134024083239584,84.5,66.0,49.50000000000001,1371.0
83,Barley,Sandy,6.75,10.863845282238383,80.0,6.687334634358601,50.0,40.0,30.0,497.8
84,Cotton,Clay,6.25,17.288382272144194,80.0,10.67227744543125,66.0,55.00000000000001,48.0,1137.3
85,Sugarcane,Saline,8.0,19.21787011390172,80.0,6.801035565280095,84.5,66.0,54.0,1041.0
86,Tomato,Sandy,6.75,10.164444726995168,80.0,13.601234645240195,50.0,36.0,30.0,943.0
87,Potato,Sandy,6.75,14.2835837064146,80.0,8.198185956251244,55.00000000000001,40.0,27.0,627.3
88,Wheat,Clay,6.25,11.21546954744202,80.0,7.374763531395647,66.0,50.0,36.0,850.5
89,Corn,Loamy,6.5,11.143972692091433,80.0,11.02526792733148,84.0,66.0,50.0,1112.4
90,Rice,Sandy,6.75,23.63873813717129,76.36126186282871,5.522195906752921,65.0,48.0,33.0,1465.8
91,Barley,Loamy,6.5,12.982225215765446,80.0,12.225889049588396,70.0,60.0,50.0,771.9
92,Cotton,Clay,6.25,12.762859878709309,80.0,4.860596412727368,66.0,55.00000000000001,48.0,1111.9
93,Sugarcane,Loamy,6.5,16.378175789437037,80.0,10.836169104911985,91.0,72.0,60.0,1093.7
94,Tomato,Sandy,6.75,10.49353090667666,80.0,11.027370754022543,50.0,36.0,30.0,636.0
95,Potato,Saline,8.0,15.026218498590916,80.0,10.140941781294226,71.5,55.0,40.5,503.6
96,Wheat,Sandy,6.75,-2.390846068182782,80.0,9.195210814151462,55.00000000000001,40.0,27.0,687.4
97,Corn,Sandy,6.75,19.46412682149428,80.0,16.18224377464596,60.0,44.0,30.0,739.4
98,Rice,Loamy,6.5,9.898083763689224,80.0,9.19271668621315,91.0,72.0,55.00000000000001,1459.0
99,Barley,Loamy,6.5,19.389125842400567,80.0,10.70039738944073,70.0,60.0,50.0,432.9
100,Cotton,Clay,6.25,4.803839111199498,80.0,10.600403257520268,66.0,55.00000000000001,48.0,1069.1
101,Sugarcane,Peaty,5.5,16.100371644018104,80.0,4.348349532298319,71.5,54.0,42.0,1065.2
102,Tomato,Clay,6.25,18.22866394361624,80.0,9.95584522409519,60.0,45.0,40.0,795.9
103,Potato,Peaty,5.5,7.384195647641196,80.0,13.617745621727757,60.50000000000001,45.0,31.5,675.7
104,Wheat,Peaty,5.5,18.736840158059007,80.0,9.127923075906873,60.50000000000001,45.0,31.5,716.3
105,Corn,Clay,6.25,13.403199962331708,80.0,5.903005640549033,72.0,55.00000000000001,40.0,1139.3
106,Rice,Saline,8.0,12.348711908137796,80.0,7.621381503212968,84.5,66.0,49.50000000000001,1219.7
107,Barley,Clay,6.25,9.823788387903129,80.0,6.344531076140243,60.0,50.0,40.0,499.1
108,Cotton,Sandy,6.75,11.89818138732224,80.0,10.534385277283194,55.00000000000001,44.0,36.0,1084.7
109,Sugarcane,Clay,6.25,15.960451903163246,80.0,14.791338167562431,78.0,60.0,48.0,1084.1
110,Tomato,Loamy,6.5,15.63717203334045,80.0,12.554206277136489,70.0,54.0,50.0,652.3
111,Potato,Loamy,6.5,10.138657261379642,80.0,10.238447355452616,77.0,60.0,45.0,681.4
112,Wheat,Sandy,6.75,7.197470428086646,80.0,10.620068389003231,55.00000000000001,40.0,27.0,626.3
113,Corn,Clay,6.25,4.446502394249109,80.0,9.976082076050147,72.0,55.00000000000001,40.0,1079.0
114,Rice,Peaty,5.5,26.871647017461942,73.12835298253806,13.043598078061894,71.5,54.0,38.5,1362.6
115,Barley,Loamy,6.5,22.910190914818894,77.0898090851811,5.430771283358941,70.0,60.0,50.0,446.3
116,Cotton,Saline,8.0,17.814846183452854,80.0,8.625670291505871,71.5,60.50000000000001,54.0,1153.1
117,Sugarcane,Peaty,5.5,18.98742102239157,80.0,10.435612180856374,71.5,54.0,42.0,1361.2
118,Tomato,Sandy,6.75,14.627461767344135,80.0,10.85794049856485,50.0,36.0,30.0,864.2
119,Potato,Clay,6.25,19.665060701941748,80.0,7.714795252816541,66.0,50.0,36.0,675.3
120,Wheat,Peaty,5.5,16.29861250860741,80.0,7.2870501246867745,60.50000000000001,45.0,31.5,524.9
121,Corn,Loamy,6.5,6.6923996886552,80.0,9.406111093896056,84.0,66.0,50.0,884.7
122,Rice,Loamy,6.5,14.257242974964752,80.0,8.777619587094204,91.0,72.0,55.00000000000001,1200.2
123,Barley,Saline,8.0,18.8012554731768,80.0,17.16963481665497,65.0,55.0,45.0,587.1
124,Cotton,Sandy,6.75,11.980074066420896,80.0,8.474782135318742,55.00000000000001,44.0,36.0,680.8
125,Sugarcane,Sandy,6.75,17.440220396893746,80.0,14.740402285225604,65.0,48.0,36.0,1434.0
126,Tomato,Sandy,6.75,15.568647301064903,80.0,12.288541872394362,50.0,36.0,30.0,885.5
127,Potato,Loamy,6.5,16.972260711891483,80.0,8.73704655753921,77.0,60.0,45.0,647.5
128,Wheat,Clay,6.25,13.749386994627445,80.0,13.9031572994869,66.0,50.0,36.0,648.0
129,Corn,Sandy,6.75,3.848350461870556,80.0,10.055255137568656,60.0,44.0,30.0,715.8
130,Rice,Sandy,6.75,8.947494204653157,80.0,5.159768033347624,65.0,48.0,33.0,1399.9
131,Barley,Loamy,6.5,15.274596493261283,80.0,3.1328162292010084,70.0,60.0,50.0,446.6
132,Cotton,Saline,8.0,12.923560430495993,80.0,15.117474578013056,71.5,60.50000000000001,54.0,835.2
133,Sugarcane,Loamy,6.5,12.56302488039426,80.0,11.211461676037915,91.0,72.0,60.0,1138.1
134,Tomato,Sandy,6.75,10.91499280369553,80.0,10.214698711658178,50.0,36.0,30.0,1144.5
135,Potato,Clay,6.25,23.210480855537217,76.78951914446279,9.88356315183992,66.0,50.0,36.0,687.1
136,Wheat,Saline,8.0,9.906902759477564,80.0,18.92859078446492,71.5,55.0,40.5,907.9
137,Corn,Loamy,6.5,12.632056095114455,80.0,14.157709963873296,84.0,66.0,50.0,705.6
138,Rice,Peaty,5.5,18.59049274125842,80.0,14.702783262636904,71.5,54.0,38.5,1303.8
139,Barley,Clay,6.25,11.59869206403046,80.0,10.541592525416297,60.0,50.0,40.0,496.4
140,Cotton,Peaty,5.5,16.023051047624563,80.0,13.614911941902244,60.50000000000001,49.50000000000001,42.0,665.8
141,Sugarcane,Clay,6.25,11.862905578112615,80.0,8.51383227120626,78.0,60.0,48.0,1316.1
142,Tomato,Sandy,6.75,13.053559041362536,80.0,10.167174736866084,50.0,36.0,30.0,1192.9
143,Potato,Saline,8.0,21.98582213774405,78.01417786225595,7.92880214709475,71.5,55.0,40.5,640.2
144,Wheat,Sandy,6.75,7.221250120641858,80.0,1.646093065653698,55.00000000000001,40.0,27.0,953.5
145,Corn,Loamy,6.5,18.87736286244457,80.0,6.623742976759333,84.0,66.0,50.0,911.4
146,Rice,Sandy,6.75,1.5155667852921422,80.0,9.837115400446564,65.0,48.0,33.0,1385.3
147,Barley,Loamy,6.5,18.48103182406709,80.0,6.9484234883638285,70.0,60.0,50.0,689.1
148,Cotton,Sandy,6.75,20.64824742486185,79.35175257513815,6.81922517816164,55.00000000000001,44.0,36.0,1176.4
149,Sugarcane,Loamy,6.5,15.990423803839274,80.0,9.566918764228172,91.0,72.0,60.0,1414.4
150,Tomato,Saline,8.0,12.26570529379804,80.0,13.258316580308968,65.0,49.5,45.0,697.8
151,Potato,Loamy,6.5,21.94291134520144,78.05708865479856,2.0219459288518813,77.0,60.0,45.0,577.0
152,Wheat,Saline,8.0,15.548663195938964,80.0,9.448191533773064,71.5,55.0,40.5,779.9
153,Corn,Clay,6.25,13.528166694908473,80.0,8.91432708630099,72.0,55.00000000000001,40.0,716.6
154,Rice,Peaty,5.5,21.111016731039683,78.88898326896032,3.477029307740059,71.5,54.0,38.5,1269.1
155,Barley,Saline,8.0,11.879853531797282,80.0,4.874490161294477,65.0,55.0,45.0,580.0
156,Cotton,Loamy,6.5,13.85391974223204,80.0,9.172571303194024,77.0,66.0,60.0,1145.8
157,Sugarcane,Clay,6.25,16.63066511121059,80.0,6.246659270844091,78.0,60.0,48.0,1408.4
158,Tomato,Saline,8.0,14.075489317785054,80.0,6.275496307152633,65.0,49.5,45.0,717.0
159,Potato,Clay,6.25,13.35334500840099,80.0,9.709521887819768,66.0,50.0,36.0,598.0
160,Wheat,Peaty,5.5,15.832075743814444,80.0,7.072060575125,60.50000000000001,45.0,31.5,601.7
161,Corn,Sandy,6.75,16.668217657252985,80.0,16.835436184565218,60.0,44.0,30.0,793.0
162,Rice,Sandy,6.75,25.776197692165365,74.22380230783463,12.016771853241316,65.0,48.0,33.0,1469.7
163,Barley,Loamy,6.5,12.90928482995364,80.0,6.866515760800365,70.0,60.0,50.0,527.7
164,Cotton,Clay,6.25,10.10813611192484,80.0,16.01672213691986,66.0,55.00000000000001,48.0,1089.9
165,Sugarcane,Clay,6.25,12.193165704521707,80.0,10.942611198851353,78.0,60.0,48.0,1097.2
166,Tomato,Loamy,6.5,11.768953190885004,80.0,14.86160033549763,70.0,54.0,50.0,665.7
167,Potato,Sandy,6.75,28.80380967863092,71.19619032136907,9.352943419296228,55.00000000000001,40.0,27.0,541.1
168,Wheat,Loamy,6.5,13.874970483148124,80.0,13.622776511290786,77.0,60.0,45.0,628.1
169,Corn,Loamy,6.5,17.16154365595385,80.0,9.616912448167684,84.0,66.0,50.0,692.7
170,Rice,Saline,8.0,6.22606579712383,80.0,9.628318063778323,84.5,66.0,49.50000000000001,1307.5
171,Barley,Peaty,5.5,15.726133885646735,80.0,9.98399058749001,55.0,45.0,35.0,571.7
172,Cotton,Sandy,6.75,13.245673465132302,80.0,14.964935127209756,55.00000000000001,44.0,36.0,1030.9
173,Sugarcane,Clay,6.25,11.015242821127249,80.0,9.77268751833564,78.0,60.0,48.0,1305.9
174,Tomato,Loamy,6.5,11.705507890118986,80.0,9.77669971269986,70.0,54.0,50.0,1183.8
175,Potato,Peaty,5.5,20.3228433901335,79.6771566098665,10.358817006661209,60.50000000000001,45.0,31.5,623.2
176,Wheat,Sandy,6.75,16.335251926742266,80.0,12.203358422350902,55.00000000000001,40.0,27.0,706.4
177,Corn,Clay,6.25,15.610269672515024,80.0,12.455454203915618,72.0,55.00000000000001,40.0,705.7
178,Rice,Saline,8.0,10.903678032225988,80.0,11.84712624749362,84.5,66.0,49.50000000000001,1302.0
179,Barley,Saline,8.0,10.18096244951391,80.0,13.387208312605429,65.0,55.0,45.0,750.9
180,Cotton,Loamy,6.5,12.688623556474788,80.0,7.432675751762286,77.0,66.0,60.0,669.0
181,Sugarcane,Loamy,6.5,9.787575628864309,80.0,13.833780487714495,91.0,72.0,60.0,1350.3
182,Tomato,Sandy,6.75,15.674923604098442,80.0,16.127189268142217,50.0,36.0,30.0,658.6
183,Potato,Saline,8.0,19.33882512085444,80.0,10.84909661618565,71.5,55.0,40.5,585.3
184,Wheat,Loamy,6.5,14.878613600540293,80.0,8.334328002613715,77.0,60.0,45.0,658.8
185,Corn,Sandy,6.75,17.83926736885636,80.0,8.663492435797684,60.0,44.0,30.0,702.9
186,Rice,Peaty,5.5,10.636846863144946,80.0,12.38097382594106,71.5,54.0,38.5,1300.8
187,Barley,Clay,6.25,10.976065416698376,80.0,6.987577699743796,60.0,50.0,40.0,483.5
188,Cotton,Loamy,6.5,13.624380068264628,80.0,9.502830840560154,77.0,66.0,60.0,832.3
189,Sugarcane,Loamy,6.5,14.514502162983383,80.0,10.16295665936271,91.0,72.0,60.0,1016.2
190,Tomato,Saline,8.0,13.342066878684207,80.0,9.615365421714667,65.0,49.5,45.0,658.0
191,Potato,Sandy,6.75,17.776884084034542,80.0,8.13138851073015,55.00000000000001,40.0,27.0,516.7
192,Wheat,Sandy,6.75,13.133003658117152,80.0,6.479289378963625,55.00000000000001,40.0,27.0,922.9
193,Corn,Loamy,6.5,20.242654692538004,79.757345307462,8.343330867157086,84.0,66.0,50.0,1127.2
194,Rice,Saline,8.0,26.78688182516354,73.21311817483647,12.813514904699932,84.5,66.0,49.50000000000001,1425.0
195,Barley,Sandy,6.75,15.823489137185703,80.0,5.518511076357278,50.0,40.0,30.0,477.0
196,Cotton,Loamy,6.5,25.051022693831747,74.94897730616825,7.103147200368545,77.0,66.0,60.0,855.5
197,Sugarcane,Loamy,6.5,14.834365135631014,80.0,15.383673590553364,91.0,72.0,60.0,1184.6
198,Tomato,Sandy,6.75,16.118939758194493,80.0,12.722484305251768,50.0,36.0,30.0,918.1
199,Potato,Loamy,6.5,21.619374018936064,78.38062598106393,6.6045515736019125,77.0,60.0,45.0,642.5
200,Wheat,Loamy,6.5,17.028087965701893,80.0,12.145021041403425,77.0,60.0,45.0,984.6
201,Corn,Clay,6.25,19.28722965858703,80.0,10.953415507605651,72.0,55.00000000000001,40.0,669.1
202,Rice,Peaty,5.5,14.164409598415729,80.0,10.440141059299968,71.5,54.0,38.5,1444.1
203,Barley,Clay,6.25,10.91532164506382,80.0,11.254757664358,60.0,50.0,40.0,756.3
204,Cotton,Sandy,6.75,12.02554851465217,80.0,5.920431577060242,55.00000000000001,44.0,36.0,860.4
205,Sugarcane,Peaty,5.5,13.045307151673876,80.0,7.988705298861221,71.5,54.0,42.0,1024.7
206,Tomato,Clay,6.25,13.35042632433263,80.0,13.626945832319397,60.0,45.0,40.0,1157.5
207,Potato,Saline,8.0,12.76783192724736,80.0,10.582269978694924,71.5,55.0,40.5,665.1
208,Wheat,Clay,6.25,25.10200981841056,74.89799018158945,7.780377170609837,66.0,50.0,36.0,529.3
209,Corn,Saline,8.0,21.91452217232399,78.08547782767602,14.69657208770302,78.0,60.50000000000001,45.0,864.0
210,Rice,Clay,6.25,18.391497055960205,80.0,9.85591140785747,78.0,60.0,44.0,1427.3
211,Barley,Loamy,6.5,15.538399348633025,80.0,13.365559568280544,70.0,60.0,50.0,626.8
212,Cotton,Clay,6.25,10.353339029488632,80.0,6.245381727428668,66.0,55.00000000000001,48.0,774.4
213,Sugarcane,Peaty,5.5,17.527509053057457,80.0,9.91322534747539,71.5,54.0,42.0,1441.8
214,Tomato,Saline,8.0,13.849717822018086,80.0,9.52403351239424,65.0,49.5,45.0,681.5
215,Potato,Clay,6.25,18.21361379933772,80.0,13.987457590397296,66.0,50.0,36.0,522.3
216,Wheat,Sandy,6.75,14.799210246778284,80.0,5.707674693645855,55.00000000000001,40.0,27.0,720.1
217,Corn,Saline,8.0,11.594741712625597,80.0,5.639720508176782,78.0,60.50000000000001,45.0,1049.7
218,Rice,Saline,8.0,14.405010121345532,80.0,6.466310071058282,84.5,66.0,49.50000000000001,1317.2
219,Barley,Loamy,6.5,23.09401012510299,76.90598987489702,12.357400475952495,70.0,60.0,50.0,755.2
220,Cotton,Sandy,6.75,12.983552490134398,80.0,9.029931363141374,55.00000000000001,44.0,36.0,1121.6
221,Sugarcane,Peaty,5.5,17.624443893319754,80.0,15.344875271276102,71.5,54.0,42.0,1358.4
222,Tomato,Saline,8.0,15.188301165839688,80.0,5.843884402990804,65.0,49.5,45.0,702.9
223,Potato,Clay,6.25,19.94441368654509,80.0,11.86992941996381,66.0,50.0,36.0,663.5
224,Wheat,Sandy,6.75,15.29815184960087,80.0,8.059189666883277,55.00000000000001,40.0,27.0,798.5
225,Corn,Clay,6.25,16.967426927108747,80.0,13.795591754871095,72.0,55.00000000000001,40.0,713.3
226,Rice,Loamy,6.5,25.578778609583274,74.42122139041672,9.38423611115774,91.0,72.0,55.00000000000001,1309.3
227,Barley,Clay,6.25,20.86119623379197,79.13880376620803,8.260897265579118,60.0,50.0,40.0,533.0
228,Cotton,Saline,8.0,12.3535088122689,80.0,9.926936223217051,71.5,60.50000000000001,54.0,1076.4
229,Sugarcane,Clay,6.25,17.529955549797673,80.0,4.007765969621479,78.0,60.0,48.0,1194.2
230,Tomato,Loamy,6.5,14.932252259762702,80.0,8.493232851417629,70.0,54.0,50.0,1124.9
231,Potato,Sandy,6.75,13.316886363394197,80.0,11.05526402978114,55.00000000000001,40.0,27.0,620.1
232,Wheat,Peaty,5.5,30.524337142333607,69.47566285766639,11.042207909926988,60.50000000000001,45.0,31.5,908.1
233,Corn,Clay,6.25,17.061092011219667,80.0,9.68382422368802,72.0,55.00000000000001,40.0,1092.4
234,Rice,Clay,6.25,21.58471781616281,78.41528218383719,11.317908273044411,78.0,60.0,44.0,1273.3
235,Barley,Loamy,6.5,8.184801707244393,80.0,14.429621049177689,70.0,60.0,50.0,692.9
236,Cotton,Saline,8.0,13.542550105032548,80.0,7.318397051485568,71.5,60.50000000000001,54.0,1032.7
237,Sugarcane,Saline,8.0,18.85849355324172,80.0,1.4543721381097736,84.5,66.0,54.0,1321.6
238,Tomato,Sandy,6.75,6.301431106109503,80.0,11.122840166731915,50.0,36.0,30.0,1192.5
239,Potato,Clay,6.25,23.58382740157193,76.41617259842806,14.612834680222123,66.0,50.0,36.0,654.2
240,Wheat,Clay,6.25,24.755171490100096,75.2448285098999,8.230064228756667,66.0,50.0,36.0,850.2
241,Corn,Loamy,6.5,9.274112879823097,80.0,6.110494697557513,84.0,66.0,50.0,778.8
242,Rice,Loamy,6.5,19.23539504992517,80.0,13.66750274466064,91.0,72.0,55.00000000000001,1323.9
243,Barley,Peaty,5.5,14.552386948760471,80.0,13.28435113491974,55.0,45.0,35.0,524.0
244,Cotton,Saline,8.0,18.146244859467924,80.0,9.43001683845286,71.5,60.50000000000001,54.0,1073.9
245,Sugarcane,Sandy,6.75,23.578780040031223,76.42121995996877,12.315645985106295,65.0,48.0,36.0,1435.8
246,Tomato,Loamy,6.5,2.724374871388571,80.0,12.748983024107444,70.0,54.0,50.0,1084.6
247,Potato,Loamy,6.5,25.44187352390364,74.55812647609636,9.58123111553448,77.0,60.0,45.0,538.3
248,Wheat,Saline,8.0,16.38284576297464,80.0,8.047859387964731,71.5,55.0,40.5,525.0
249,Corn,Clay,6.25,14.180195601990391,80.0,9.69146751059179,72.0,55.00000000000001,40.0,605.7
250,Rice,Clay,6.25,19.81482764557065,80.0,10.922862266353157,78.0,60.0,44.0,1263.7
251,Barley,Sandy,6.75,15.337492679375044,80.0,13.31657779887395,50.0,40.0,30.0,429.8
252,Cotton,Sandy,6.75,12.799963045022988,80.0,8.996477480929759,55.00000000000001,44.0,36.0,1027.5
253,Sugarcane,Sandy,6.75,16.511994221191124,80.0,7.64394057246384,65.0,48.0,36.0,1283.7
254,Tomato,Saline,8.0,14.305687064026642,80.0,9.107309489920024,65.0,49.5,45.0,961.5
255,Potato,Loamy,6.5,7.654602196818958,80.0,7.302515118993883,77.0,60.0,45.0,635.8
256,Wheat,Saline,8.0,19.374172191345657,80.0,3.5290580659009807,71.5,55.0,40.5,966.3
257,Corn,Loamy,6.5,26.23064482968006,73.76935517031994,14.926045480409108,84.0,66.0,50.0,719.6
